character,line,episode
Jim:, Wow. But then who would watch my TV? That is...,no1-03.php
Pam:, [laughs]... your problem.,no1-03.php
Michael:, Jimbo! Ha haaaaa. Ah.,no1-03.php
Michael:," There's a decision that needs to be made, and I'm having an unbelievably a busy day. So I'm going to let you pick a health care plan for our office and then explain it to your co-workers.",no1-03.php
Jim:, Gosh.,no1-03.php
Michael:, Yeah!,no1-03.php
Jim:, That is a great offer. Thank you. I really think I should be concentrating on sales.,no1-03.php
Michael:, Really?,no1-03.php
Jim:," Yeah. I just don't think this is the kind of task, that I... am going to do. You know who would be great for this?",no1-03.php
Jim:," Any time Michael asks me to do anything, I just tell him that Dwight should do it.",no1-03.php
Dwight:, Yes. I can do it. I'm your man.,no1-03.php
Jim:," Right now, this is just a job. If I advance any higher in this company then this would be my career. And uh, well, if this were my career, I'd have to throw myself in front of a train.",no1-03.php
Dwight:," OK, first, let's go over some parameters. How many people can I fire?",no1-03.php
Michael:," Ah, none. You're picking a health care plan.",no1-03.php
Dwight:," OK, we'll table that for the time being. Two, I'll need an office. I think the conference room should be fine.",no1-03.php
Michael:, You can use the conference room as a temporary workspace.,no1-03.php
Dwight:," [to self] Yes, I have an office. [to camera] Bigger than his.",no1-03.php
Michael:," Nope, you cannot use it.",no1-03.php
Dwight:," OK, I take it back, it's a workspace.",no1-03.php
Michael:, Temporary workspace. You can use it.,no1-03.php
Dwight:, Thank you.,no1-03.php
Michael:," If Dwight fails, then that is strike two, and good for me for, ah, for giving him a second chance. And if he succeeds, then, you know, no one will be prouder than I am. I groomed him. I made him what he is today. Unless he fails, and we've talked about that already.",no1-03.php
Dwight:, What did I do? I did my job. I slashed benefits to the bone. I saved this company money. Was I too harsh? Maybe. I don't believe in coddling people.,no1-03.php
Dwight:," In the wild, there is no health care. In the wild, health care is, ""Ow, I hurt my leg. I can't run. A lion eats me and I'm dead."" Well, I'm not dead. I'm the lion. You're dead.",no1-03.php
Stanley:," There's no dental, there's no vision, there's a $1,200 deductible.",no1-03.php
Pam:," Dunder Mifflin, this is Pam.",no1-03.php
Michael:," [on phone] Pam, Michael Scott. How's tricks?",no1-03.php
Pam:, Where are you?,no1-03.php
Michael:," Oh, I am in my office. I am swamped. I have work up to my ears I'm busy, busy, busy. Can't step away. I just wanted to check in and see how everybody's doing. Everybody cool out there?",no1-03.php
Pam:," Actually, people are really unhappy. Um, Dwight sent around this memo and people are freaking out 'cause the... ",no1-03.php
Michael:," Pam! Whoa, whoa, I'm sorry, I'm sorry, I, I, I, I gotta go. I'm getting a call.",no1-03.php
Pam:, No you're not.,no1-03.php
Michael:," I have to make a call after I finish... my work. You know what? Uh, just don't let anybody in my office under any conditions today. I'm just too busy. Too swamped, you know? I am unreachable. I am incommunicado, capisce?",no1-03.php
Pam:, OK.,no1-03.php
Michael:," Thank you, Oh, gah, here we go again. Gotta go, I have to take this.",no1-03.php
Pam:, Still no one calling. ,no1-03.php
Pam:," Dwight, what... ",no1-03.php
Dwight:," Uh, knock, please. Please knock. This is an office.",no1-03.php
Jim:," It says ""workspace"".",no1-03.php
Dwight:, Same thing.,no1-03.php
Jim:," If it's the same thing, then why did you write ""workspace""?",no1-03.php
Dwight:," Just knock, Please? As a sign of respect for your superior.",no1-03.php
Jim:, You are not my superior.,no1-03.php
Dwight:," Oh gee, then why do I have an office?",no1-03.php
Jim:, I thought it was a workspace?,no1-03.php
Pam:, OK. Dwight. Are you really in charge of picking the health care plan?,no1-03.php
Dwight:, Yes. And my decision in final.,no1-03.php
Pam:, This is a ridiculously awful plan. Because you cut everything.,no1-03.php
Dwight:," Aww, times are tough, Pam. Deal with it.",no1-03.php
Jim:," You cut more than you had to, didn't you?",no1-03.php
Dwight:, Sure.,no1-03.php
Jim:," Well, why did you do that? You work here, don't you want good insurance?",no1-03.php
Dwight:, Don't need it. Never been sick. Perfect immune system.,no1-03.php
Jim:," OK, well, if you've never been sick, then you don't have any antibodies.",no1-03.php
Dwight:," I don't need them. Superior genes. I'm a Schrute. And superior brain power. Through concentration, I can raise and lower my cholesterol at will.",no1-03.php
Pam:, Why would you want to raise your cholesterol?,no1-03.php
Dwight:, So I can lower it.,no1-03.php
Oscar:, He literally won't come out of his office.,no1-03.php
Kevin:, He's got to come out sometime. To go to the bathroom.,no1-03.php
Angela:, Kevin! That's inappropriate. ,no1-03.php
Oscar:," Michael, can I talk to you?",no1-03.php
Michael:," Ah, uh, I would love to, but I am really busy. Rain check?",no1-03.php
Meredith:," Michael. Michael, please, can we talk to you about this memo?",no1-03.php
Michael:," Ah, what? Which memo?",no1-03.php
Pam:, Dwight's health care memo. I told you about it.,no1-03.php
Michael:, Is it a good plan?,no1-03.php
Dwight:, It's a great plan. It saves the company a fortune.,no1-03.php
Oscar:, It's like a pay decrease.,no1-03.php
Pam:," Michael, he made huge cuts.",no1-03.php
Michael:," Cuts? What? Wow, Dwight, did you make cuts?",no1-03.php
Dwight:," Yeah, you said... ",no1-03.php
Michael:," No, no , no, you know what? I said nothing specific because I was so busy. Why don't you go in there and find these people a plan that will work for them? OK?",no1-03.php
Dwight:, I can handle that.,no1-03.php
Michael:," OK? All right. Do we feel good? All right. Good. Plus, there's some other good news. Today, at the end of the day, I will have, for all of you, a big surprise. OK? So hang in there, and I will see you at the end of the day. Right?",no1-03.php
Oscar:, This is not good.,no1-03.php
Angela:, It's ridiculous. Did you talk to him?,no1-03.php
Oscar:, What was that?,no1-03.php
Angela:, You let him walk all over you. It's just pathetic.,no1-03.php
Kevin:, What are you guys talking about?,no1-03.php
Angela:," Nothing, Kevin.",no1-03.php
Michael:, him.,no1-03.php
Dwight:," OK, everyone. Gather round. Step forward. It has been brought to my attention that some of you are unhappy with my plan. So what I'd like you to do is to fill this out and write down any diseases you have that you might want covered and I'll see what I can do.",no1-03.php
Jim:," OK, you know what Dwight? We can't write our diseases down for you because that's confidential.",no1-03.php
Dwight:," OK, well, I didn't say to write your name down, did I? Fill it out, leave it anonymous. Or, don't write any disease down at all and it won't be covered. Sound fair? Good. I'll be in my office.",no1-03.php
Jim:, Workspace.,no1-03.php
Michael:, You know what? Come with me. We are going on a little mission. Operation Surprise.,no1-03.php
Pam:, Where are you going?,no1-03.php
Michael:," Um, headed out. Part of my busy day, you know. Meetings. [Giggles] Couldn't find the knob.",no1-03.php
Michael:," So, basically, I want to do something nice for my employees. Atlantic City, OK? They have this thing where they send a bus, right, for free. Picks everybody up, you head down there, get to the hotel, room is comped, they give you a pile of chips, and your food, everything just kind of all-inclusive, free kind of weekend.",no1-03.php
Travel Agent:," I don't know of anything like that, but, um, you know what you might want to do, is just call those casinos directly. Um, maybe?",no1-03.php
Michael:," Yeah, yeah, yeah. I did, so...",no1-03.php
Jim:, Wait. What are you writing? Don't write Ebola or mad cow disease. Right? 'Cause I'm suffering from both.,no1-03.php
Pam:, I'm inventing new diseases.,no1-03.php
Jim:," Oh, great.",no1-03.php
Pam:," So, let's say my teeth turn to liquid and then, they drip down the back of my throat. What would you call that?",no1-03.php
Jim:, I thought you said you were inventing diseases? That's spontaneous dental hydroplosion.,no1-03.php
Pam:, Nice.,no1-03.php
Jim:, Thank you.,no1-03.php
Michael:," [on his cell phone] Calling you to ask you a little favoroonie my friend. Um, trying to give the troops around here a little bit of a boost. And I was thinking that maybe we could take them down to take a spin on your big ride.",no1-03.php
Man on Phone:, You mean the elevator that takes you down into the mineshaft? It's not really a ride.,no1-03.php
Michael:, Its says here that it's a 300ft drop.,no1-03.php
Man on Phone:," It goes 300 feet into the earth, but it moves really slowly.",no1-03.php
Michael:, So it's not a free fall?,no1-03.php
Man on Phone:, It's an industrial coal elevator.,no1-03.php
Michael:," Uh, all right. Well, once you get down into the mine, what... you got laser tag or something?",no1-03.php
Michael:," OK, so I don't know what the surprise is. Am I worried? No. No way. See, I thrive on this. This is my world. This is improv. This is Whose Line is it Anyway? ",no1-03.php
Dwight:, Damnit! Damnit Jim! ,no1-03.php
Dwight:," All right, who did this? I'm not mad. I just want to know who did it so I can punish them. ",no1-03.php
Jim:, What are you talking about?,no1-03.php
Dwight:," Uh, someone forged, uh, medical information and that is a felony.",no1-03.php
Jim:," OK, whoa. 'Cause that is a pretty intense accusation. How do you know that they're fake?",no1-03.php
Dwight:," Uh, leprosy? Flesh eating bacteria. Hot-dog fingers. Government-created killer nanorobot infection.",no1-03.php
Dwight:," You did this, didn't you?",no1-03.php
Jim:, Absolutely not.,no1-03.php
Dwight:, Yes you did.,no1-03.php
Jim:, No I didn't.,no1-03.php
Dwight:," I know it was you. Fine. You know what? I'll have to interview each and every one of you until the perpetrator makes him or herself known. And until that time, there will be no health care coverage for any one!",no1-03.php
Jim:, Killer nanorobots?,no1-03.php
Pam:, It's an epidemic.,no1-03.php
Dwight:," The problem, Jim, is that people who are really suffering from a medical condition won't receive the care they need, because someone in this office is coming up with all this ridiculous stuff. [reads off of paper] ""Count Choculitis""",no1-03.php
Jim:, Sounds tough.,no1-03.php
Dwight:, Why did you write that down Jim? Is it because you know I love Count Chocula?,no1-03.php
Jim:, Do you?,no1-03.php
Dwight:, I think you need to confess... ,no1-03.php
Jim:, Mmm hmm.,no1-03.php
Dwight:, ...the fact...,no1-03.php
Jim:, Yep.,no1-03.php
Dwight:, What are you doing? Those are my keys.,no1-03.php
Jim:, Good luck. [closes door and locks it],no1-03.php
Dwight:," Jim! Damnit! No! Jim! Let me out! Jim! Let... [Without looking, Jim throws his keys to his left, they land on a shelf next to Stanley]",no1-03.php
Stanley:," [looks at keys, continues talking on phone] ...the light green or green...",no1-03.php
Jim:, [answering phone] Jim Halpert.,no1-03.php
Dwight:, Let me out.,no1-03.php
Jim:, Who is this?,no1-03.php
Dwight:, Let me out or you're fired.,no1-03.php
Jim:," No, you can't fire me.",no1-03.php
Dwight:, Yes I can. I'm manager for the day. Clean out your desk.,no1-03.php
Jim:," OK, can you hold on? I'm getting the, ah, beep. [presses button on phone]] Jim Halpert.",no1-03.php
Pam:," [on phone] Hey, Jim. It's Pam.",no1-03.php
Jim:, Hey Pam! How are you?,no1-03.php
Dwight:, Jim! Open the door!,no1-03.php
Pam:," Good, how are you? Busy?",no1-03.php
Jim:, I'm doing OK. Getting excited for the weekend though. What are you up to?,no1-03.php
Dwight:, Jim!,no1-03.php
Pam:," Um, I'm not bothering you, am I?",no1-03.php
Jim:," No, not at all.",no1-03.php
Pam:, You don't have anything you're doing?,no1-03.php
Jim:, I have nothing to do.,no1-03.php
Dwight:, Jim!,no1-03.php
Pam:," Oh great. Um, no, this weekend? Nothing. I'm not really doing anything.",no1-03.php
Dwight:, Jim!,no1-03.php
Jim:, Oh yeah?,no1-03.php
Pam:, I might go to the mall.,no1-03.php
Jim:, The mall?,no1-03.php
Dwight:, Jim!,no1-03.php
Pam:, I need new shoes.,no1-03.php
Jim:," Oh, interesting, what kind of shoes?",no1-03.php
Jan:, Hello?,no1-03.php
Dwight:," Uh, hello. Uh, this is Dwight Schrute calling for Jan Levenson-Gould.",no1-03.php
Jan:, This is Jan.,no1-03.php
Dwight:," Hi. Dwight Schrute calling, acting manager, Scranton branch. Listen, I needed your permission to fire Jim Halpert.",no1-03.php
Jan:, Who is this?,no1-03.php
Dwight:, Dwight Schrute.,no1-03.php
Jan:, From sales?,no1-03.php
Dwight:, Well...,no1-03.php
Jan:, Where's Michael Scott?,no1-03.php
Dwight:, He is not here right now. He put me in charge of the office.,no1-03.php
Jan:," Dwight, listen to me very carefully. You are not a manager of anything. Understand?",no1-03.php
Dwight:," That's not entirely true, because he put me in charge of picking the health care plan.",no1-03.php
Jan:, Really?,no1-03.php
Dwight:, Yeah.,no1-03.php
Jan:," OK, when Michael gets back, you tell him to call me immediately.",no1-03.php
Dwight:," Call you immediately. Good. Oh, hey, listen, um, since I have you on the phone, um, can I fire Jim?",no1-03.php
Jan:, No. Please don't use my cell phone ever again.,no1-03.php
Dwight:," Oh, this is your cell, I thought this was your... [dial tone]",no1-03.php
Michael:," Hey, hey, everybody, Ice-cream sandwiches! Aaaahh! [laughs] Here you go. Take one, take one. It's all good. Phyllis, think fast. Ya-bome! Oh, oh, I see Angela. Angela? Right? Waaaaah! Oh, hey temp. Why don't you take two? Because you don't get health care. And uh, faster metabolism.",no1-03.php
Ryan:, Did you get the kind with the cookies? Instead of the...,no1-03.php
Michael:," Why don't you just eat it, OK? And here you go, Stanley the manly.",no1-03.php
Stanley:," Oh, thanks.",no1-03.php
Michael:, There you go.,no1-03.php
Stanley:," This isn't the big surprise, is it? Because we've been having a pretty horrible day.",no1-03.php
Michael:," Uh, nope. Nope. This isn't the surprise. It's surprising, um... because you didn't expect it. But you will... you'll know it when you see it.",no1-03.php
Dwight:, Michael. Michael?,no1-03.php
Michael:," [under his breath] Oh, Christ.",no1-03.php
Dwight:," I tried being rational, OK? And what happened? The employees went crazy, I got no help from corporate. That leaves me with no options.",no1-03.php
Dwight:," I'm now going to read out loud your submitted medical conditions. When you hear yours read, please raise your hand to indicate that it is real. If you do not raise your hand, it will not be covered.",no1-03.php
Stanley:, What about confidentiality?,no1-03.php
Dwight:," You know what? You have forfeited that privilege. I have tried to treat you all as adults, but obviously I am the only adult here. Number one, inverted penis.",no1-03.php
Meredith:," Could you mean vagina? Because if you do, I want that covered.",no1-03.php
Dwight:, I thought your vagina was removed during your hysterectomy?,no1-03.php
Meredith:, A uterus is different from a vagina. I still have a vagina.,no1-03.php
Dwight:," OK, great. Dermatitis. Thank you Angela. I'll make sure that's covered. OK, now. Who wrote this, hysterical one? Anal fissures?",no1-03.php
Kevin:, That's a real thing.,no1-03.php
Dwight:," Yeah, but no one here has it.",no1-03.php
Kevin:, Someone has it.,no1-03.php
Kevin:, Do you think we should go ?,no1-03.php
Oscar:," I don't know, Kevin. This is important. I don't want... [spots Michael through the blinds] There he is.",no1-03.php
Kevin:, What is he doing?,no1-03.php
Oscar:, I don't know.,no1-03.php
Oscar:, Well?,no1-03.php
Michael:," Well, what? You could be referring to anything.",no1-03.php
Oscar:," OK, the health care plan.",no1-03.php
Pam:, Why did you put Dwight in charge of that? He did a horrible job.,no1-03.php
Michael:," Uh, Dwight? Did you raise benefits?",no1-03.php
Dwight:, I most certainly did not.,no1-03.php
Michael:," Oh come on! That's horrible! Aaah... Thanks, Dwight, for a crappy plan. Ah, Damn! Oh, mmm, I wish I had time to change it, but Jan needs it by five, and... what time is it, what time is it? [looks at watch] Ah, it's after five. Oh, oh it's awful. So, well, OK. See you guys on Monday.",no1-03.php
Angela:, What about the surprise?,no1-03.php
Michael:," Oh... Yes. Exactly. Thank you Angela, for reminding me. Terrific. Um, before I tell everybody what the big surprise is, would you like to tell me what you think the big surprise is?",no1-03.php
Stanley:, We all think you don't have a surprise.,no1-03.php
Michael:," All right, I have some news for you. There is a big surprise. And... here it is. Here we go. And the big surprise is... Brrrrrrrr! Drum roll... Brrrrrrrr! Brrrrrrrr!",no1-03.php
Michael:," When I am backed into a corner, that is when I come alive. See I learned improve from the greats, like, um, Drew Carey and Ryan Stiles.",no1-03.php
Michael:," [clapping hands] God, yeah... Ah! This...",no1-03.php
Michael:," Robin Williams. Oh, man, would I love to go head-to-head with him. Oh! That would be exciting. [as Robin Williams] ""Hi. I'm Mork from Ork."" Well, I'm Bork from Spork. Nanoo, nanoo. Jibelee, baloobaloo.",no1-03.php
Dwight:," Oh, um... Jan wants you to call her.",no1-03.php
Dwight:," [heated discussion in the 'Dwight Schrute Workspace', door opens] I did not dismiss you.",no1-03.php
Oscar:," Well, you have no right to ask those questions.",no1-03.php
Dwight:, You came into my office voluntarily.,no1-03.php
Oscar:, Because I don't want my benefits slashed.,no1-03.php
Dwight:," Well, maybe they won't get slashed if you answer all my questions.",no1-03.php
Oscar:, I'm reporting you.,no1-03.php
Dwight:," You know when ever a worker is promoted above their peers there's always going to be a little bit of jealousy. Uh, it's natural. And that's going to lead to goofing off and that's okay that's fine. As long as they are willing to suffer the consequences.",no1-03.php
Oscar:, Michael I need to talk to you. ,no1-03.php
Michael:," Sorry, too busy can't even come to the door.",no1-03.php
Oscar:, [opens door] Michael.,no1-03.php
Michael:," Yeah, no... [hurries to get up from chair]",no1-03.php
Oscar:," Michael, Michael I... [blinds rustle] ... inside.",no1-03.php
Michael:," You know what. I, um, I'm out the door. I'm going to a meeting. Pam, I'm headed out to another meeting. So see you later. Uh, here we go.",no1-03.php
Pam:, We stole Dwight's trashcan and she found some of his early attempts at his sign.,no1-03.php
Jim:," Okay, here's uh, this is very simple. ""Dwight's Workspace,"" nice.",no1-03.php
Pam:, Mmm hmm.,no1-03.php
Jim:," Um, this one interesting the power comes from the font in this one. ""Schrute Space,"" very medieval, very England. Um, this one's forceful, this one's very Dwight. ""Quiet! Dwight Schrute Working,"" it's good.   ",no1-03.php
Pam:, Mmm hmm.,no1-03.php
Jim:," I really heard him on that. This one's interesting I'm not really sure what he meant by this. Um, ""Dwight Schrute Privates."" Tough to say.",no1-03.php
Pam:, Yeah.,no1-03.php
Jim:," Okay, you know what, Dwight. What if you got a really serious disease like Ebola.",no1-03.php
Dwight:," Psssh, no.",no1-03.php
Jim:," Well, it could happen. Have you ever seen the movie Outbreak?",no1-03.php
Dwight:," Yeah. Well, have you ever seen the movie Unbreakable? 'Cause that guy couldn't get sick, just like me.",no1-03.php
Jim:, Okay. Have you ever seen the movie Sixth Sense? Maybe you are already dead.,no1-03.php
Dwight:, Unlikely.,no1-03.php
Pam:, You promise these are confidential?,no1-03.php
Dwight:, 100%.,no1-03.php
Pam:, Did you just mark on that?,no1-03.php
Dwight:," I don't think so, no.",no1-03.php
Pam:," You made a ""P.""",no1-03.php
Dwight:," Wrong. [walks away] Thank you Jim. Kevin. Stanley. [whispering] Pam, Jim, Kevin, Stanley. Pam, Jim, Kevin, Stanley. You finished?",no1-03.php
Oscar:," Oh, yeah. Here's the rest of them.",no1-03.php
Dwight:, That was... unauthorized.,no1-03.php
Michael:,"  Well, it is time to call in a little favor. A buddy of mine runs this tourist attraction, actually it's big. It's probably one of the most popular in the state. So...",no1-03.php
Man on Phone:, Hello.,no1-03.php
Michael:," [on his cell phone] Hey, hey Craigers, my man! It is Michael Scott here. [silence] Dunder Mifflin, we supply your office paper.",no1-03.php
Man on Phone:," Oh, I think we already did our order this month.",no1-03.php
Michael:," No, no, no, no. No, actually to ask you a little favoroonie my friend. Um, here's the deal. Um, trying to give the troops here a little bit of a boost. And I was thinking that maybe we could bring them down to go on your big ride.",no1-03.php
Man on Phone:, You mean the elevator that takes you down into the mineshaft? It's not really a ride.,no1-03.php
Michael:," Well, it says here that it's a 300ft drop.",no1-03.php
Man on Phone:," Well, it goes 300 feet into the earth, but it moves really slowly.",no1-03.php
Michael:, So it's not a free fall?,no1-03.php
Man on Phone:, It's an industrial coal elevator.,no1-03.php
Michael:," Uh, okay. So um, once you get down into the mine, what do you do? Is it like, uh... Do you have laser tag down there or something?",no1-03.php
Man on Phone:," No, you just look around. It's a historically preserved coal mine.",no1-03.php
Michael:, That's it?,no1-03.php
Man on Phone:," Well, there's the adjacent Anthracite Heritage Museum. They got some really interesting old mining tools. There's also a photo mural exhibit. Uh, bat guano sculpture. [Michael hangs up cell phone] ",no1-03.php
Michael:," Uh, he's a small client. They don't really buy much.",no1-03.php
Dwight:," Why do you want health care, Pam? Hmm? Why do you want it?",no1-03.php
Pam:, In case I get sick.,no1-03.php
Dwight:," Why don't you just go ahead and use Roy's health care plan, huh?",no1-03.php
Pam:, Because we're not married.,no1-03.php
Dwight:," But you're engaged. Aren't you and maybe you've set a date for the wedding, hmm? And because you know you're going to get married you don't have to take our health care plan seriously.",no1-03.php
Pam:, We haven't set a date. [Dwight laughs],no1-03.php
Dwight:," You really expect me to believe you haven't set a date? I think you have. Sure Pam, sure. But you know what, you've been engaged for three years and I know you've set a date. And you know what else, I know you've got coverage under Roy and I know that you wrote down those fake diseases. Admit it. Admit it, Pam.",no1-03.php
Pam:," Shut up, Dwight.",no1-03.php
Dwight:, You wrote down... I didn't give you permission to.. I didn't...,no1-03.php
Pam:, I'm not talking to you anymore.,no1-03.php
Jim:," Dwight, I uh, I have something to confess.",no1-03.php
Dwight:, You're doing the right thing. Go ahead. What 's your confession?,no1-03.php
Jim:, Um...,no1-03.php
Dwight:, Let it out.,no1-03.php
Jim:, You're a jackass.,no1-03.php
Dwight:, Okay. You wanna do this the hard way. We'll do this the hard way. You wrote down those fake diseases didn't you?,no1-03.php
Jim:, No. Was that the hard way?,no1-03.php
Dwight:, I know you did.,no1-03.php
Jim:," Well, then why are you wasting everybody else's time interrogating them?",no1-03.php
Dwight:," Well, because I want to know who wrote those diseases down.",no1-03.php
Jim:, Right.,no1-03.php
Dwight:, You want you to take this pen and this piece of paper and write this down. Write this down.,no1-03.php
Jim:, Okay.,no1-03.php
Dwight:," I, Jim Halpert...",no1-03.php
Jim:," Wait, slow down.",no1-03.php
Dwight:, ...confess to health care fraud.,no1-03.php
Jim:," One second 'cause that sounds really good. Is jackass one word or two? [Dwight sighs] One, right? 'Cause, 'cause of the show, it's one.",no1-03.php
Dwight:, One word.,no1-03.php
Michael:," I've really learned from the greats. The great improvisers, Drew Carey, Ryan Stiles, uh, the Brady guy not so much. He's more the signing, Wayne Brady. Um, Robin Williams. Oh, man, would I love to go head-to-head with him. Oh! That would be exciting. [as Robin Williams] ""Hi. I'm Mork from Ork."" Well, I'm Bork from Spork. Nanoo, nanoo. Jibelee, baloobaloo. [as Robin Williams] ""That's Good morning, Vietnam!"" Well, hello to you. You know it would be... God. And you know what, sometimes when I'm watching somebody like um, like Jay Leno. He'll be half way through his step [snaps his fingers] And I will already be laughing at the punch line. He hasn't even gotten to it. He doesn't even know what it is it. So it's fun, you know it's fun having a mind that works like that. That is just a few steps ahead of... comedically ahead of like what's going on. Like I'll watch T.V. and I'll be watching a show and I will think, oh, I know someone's gonna walk in here right now and say something funny. And then they do. Or, um, I know they'll be like oh boy that person deserved to be slammed down. There's going to be some sort of insult. And there is. You know, there's like, ""Oh you're... God your butt is fat."" And I knew it. I know it's like I knew they were going to say that. I knew they were gonna go there. Don't go there. Um, but other... You know it's like uh, you know Leno, um and Letterman, Carson, you know. Need I say more? No.",no1-03.php
Dwight:," Oh, um... Jan wants you to call her.",no1-03.php
Michael:, We're all going bowling!,no1-03.php
Dwight:, Michael!?,no1-04.php
Michael:," Oh! God. Dwight, come on...",no1-04.php
Dwight:, I wanted to talk to you about the downsizing?,no1-04.php
Michael:, There's no downsizing.,no1-04.php
Dwight:," I, but if there were, I'd be protected as assistant regional manager?",no1-04.php
Michael:, Assistant to the regional manager Dwight.,no1-04.php
Dwight:," Yeah, so I don't have to worry?",no1-04.php
Michael:," Look, look, look. I talked to corporate, about protecting the sales staff. And they said they couldn't guarantee it if there's downsizing, okay?",no1-04.php
Michael:," But there's no downsizing, so just don't...",no1-04.php
Dwight:, Bottom line. Do I need to be worried?,no1-04.php
Michael:," Mmm, mm, mm. Maybe.",no1-04.php
Michael:," It looks like there's gonna be downsizing. And it's part of my job, but... blah! I hate it. I think the main difference between me and Donald Trump is that, uh, I get no pleasure out of saying the words, ""You're fired."" [as Donald Trump] ""You're foir-ed. Uh, you're foir-ed."" It just makes people sad, and an office can't function that way. No way. [as Donald Trump] ""You're foir-ed.""  I think if I had a catchphrase it would be, ""You're hired, and you can work here as long as you want."" But that's unrealistic, so...",no1-04.php
Dwight:," It's a real shame, 'cause studies have shown that more information gets passed through water-cooler gossip than through official memos. Which puts me at a disadvantage, because I bring my own water to work.",no1-04.php
Stanley:, Why'd you do this?,no1-04.php
Dwight:," I didn't do it. What do you mean? Oh, the water cooler was brought over here for... maintenance. So what do you guys hear? What's the scuttlebutt?",no1-04.php
Michael:," Get set for Operation Morale Improvement starring Michael Scott. Now, I think I have had a little stroke of genius in that I have had my assistant Pam... Smile, Pam. I have had her go out and find out whose birthday is coming up, so we can have a little celebration for it. Not bad, not bad at all. All right. And the birthday person is... drum roll please. Here we go, who is the birthday, birthday person?",no1-04.php
Michael:, Who is it? Who's the birthday?,no1-04.php
Pam:," Um... Actually, we don't have any staff birthdays coming up.",no1-04.php
Michael:, Next person on the...,no1-04.php
Pam:, Oh.,no1-04.php
Michael:, ...calendar.,no1-04.php
Pam:," Okay, umm... that would be Meredith.",no1-04.php
Michael:," Yes! All right, come on down Meredith!",no1-04.php
Pam:, But it's not until next month.,no1-04.php
Michael:," Um... uh, OK. Well, great, well, you know, it'll be a surprise.",no1-04.php
Pam:, You still want to have a party?,no1-04.php
Michael:," Yeah, why not? Sure. Go ahead, live a little. Come on, Pam. Come on, shake it up. Shake it up! Shake it up!",no1-04.php
Michael:," [grabs cell phone off desk] Brrrp! Uh, Spock, are there any signs of life down there? Well, let me check Captain. Eeee. Eeee. Eeee. Eeee. No, Captain. No signs of life down here. Just a wet blanket named Pam. Brr-rrrp. Star Trek.",no1-04.php
Phyllis:," Well, uh, for decorations, maybe we could... it's stupid, forget it.",no1-04.php
Angela:, What?,no1-04.php
Phyllis:," I was just going to say, maybe we could have streamers, but that's dumb, everybody has streamers. Never mind.",no1-04.php
Angela:," No, yeah, I think that's a good idea.",no1-04.php
Phyllis:, Yeah?,no1-04.php
Angela:, What color do you guys think?,no1-04.php
Phyllis:," Well, there's green, um, blue... yellow... red... ",no1-04.php
Pam:, How about green?,no1-04.php
Angela:, I think green is kind of whoreish.,no1-04.php
Pam:, This was tough. I suggested we flip a coin. But Angela said she doesn't like to gamble. Of course by saying that she was gambling that I wouldn't smack her.,no1-04.php
Michael:, These are my party-planning beeyatches. Pulled off an amazing '80s party last year. Off the hook!,no1-04.php
Michael:," So I was thinking, if you haven't already got a cake, um, maybe going for one of those ice-cream cakes from Baskin-Robbins. Those are very good. Very Delicious.",no1-04.php
Angela:," Meredith's allergic to dairy, so... ",no1-04.php
